brand,color,condition,body_type,wheel_config,transmission,mileage,carfax_link,dealer_address,cylinders,vehicle_age,list_price
american,Grey,Used,"SUV, Crossover",4 x 4,Automatic,16680,Available,Toronto,6,2,48588.0
japanese,Grey,Used,Sedan,Front-wheel drive (FWD),Automatic,113000,Available,Toronto,4,6,17850.0
german,Black,Lease Takeover,Sedan,Front-wheel drive (FWD),Automatic,63000,None,other,4,3,287.0
korean,other,Used,Sedan,Front-wheel drive (FWD),Automatic,53019,Available,Toronto,4,6,9500.0
german,other,Used,Other,All-wheel drive (AWD),Automatic,88964,Available,Toronto,6,7,19988.0
japanese,other,New,"SUV, Crossover",Front-wheel drive (FWD),Automatic,50,New_Car,other,4,1,33411.0
japanese,other,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,203000,None,Toronto,4,11,4980.0
german,White,Used,Sedan,All-wheel drive (AWD),Automatic,96837,Available,other_GTA,8,6,39888.0
korean,other,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,50,New_Car,other_GTA,4,1,36536.0
german,Red,Used,Sedan,Front-wheel drive (FWD),Automatic,59997,Available,Toronto,4,4,14500.0
american,Black,Used,Pickup Truck,Unknown,Automatic,192139,None,Toronto,8,6,12888.0
german,Grey,Used,Sedan,All-wheel drive (AWD),Automatic,105928,Available,Toronto,4,6,17990.0
american,Black,Used,"SUV, Crossover",4 x 4,Automatic,50148,Available,Toronto,6,4,35957.0
american,Grey,Used,Sedan,Front-wheel drive (FWD),Automatic,91000,Available,Toronto,4,6,10450.0
british,Grey,Used,"SUV, Crossover",4 x 4,Automatic,66000,Available,other_GTA,8,4,59700.0
american,Black,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,111000,Available,Toronto,6,4,19950.0
american,Red,Used,Sedan,Front-wheel drive (FWD),Automatic,94000,Available,Toronto,4,6,7999.0
american,White,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,27357,Available,other_GTA,6,2,35995.0
german,Black,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,87606,Available,Toronto,6,6,42800.0
american,White,Used,Sedan,Front-wheel drive (FWD),Automatic,140000,Available,Toronto,6,7,13250.0
japanese,Black,Used,"SUV, Crossover",4 x 4,Automatic,190000,Available,Toronto,6,11,8999.0
german,Grey,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,144000,Available,Toronto,8,5,41988.0
korean,Red,Used,Hatchback,Unknown,Automatic,167000,Available,Toronto,4,7,7995.0
german,White,Used,Sedan,All-wheel drive (AWD),Automatic,27000,Available,Toronto,6,5,42880.0
german,Black,Used,Sedan,Front-wheel drive (FWD),Automatic,40622,Available,Toronto,6,5,16999.0
german,Red,Used,Hatchback,All-wheel drive (AWD),Automatic,50725,Available,Toronto,6,5,16999.0
german,White,Used,Hatchback,All-wheel drive (AWD),Automatic,35000,Available,Toronto,6,5,17999.0
german,Black,Used,Hatchback,All-wheel drive (AWD),Automatic,46868,Available,Toronto,6,5,16999.0
german,Black,Used,Sedan,Front-wheel drive (FWD),Automatic,63742,Available,Toronto,6,6,13999.0
german,Black,Used,Sedan,Front-wheel drive (FWD),Automatic,39899,Available,Toronto,6,6,14500.0
