,brand,model,model_year,list_price,color,configuration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,dealer_address
618,BMW,X1,2022,"$52,454 ",Grey,XDrive28i M Sport Edition,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
619,BMW,3-Series,2022,"$59,324 ",Black,XDrive Sedan (5R79),New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
620,BMW,X3,2022,"$65,554 ",White,XDrive30i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
621,BMW,3-Series,2022,"$56,729 ",Black,XDrive Sedan (5R79),New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
622,BMW,4-Series,2022,"$60,629 ",White,XDrive Coupe,New,Coupe (2 door),All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
623,BMW,3-Series,2022,"$71,614 ",Black,XDrive Sedan,New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
624,BMW,X5,2022,"$93,894 ",White,XDrive40i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
625,BMW,X2,2022,"$55,174 ",Black,XDrive 28i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
626,BMW,X1,2022,"$56,954 ",White,XDrive28i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
627,BMW,X2,2022,"$56,929 ",White,XDrive 28i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
628,BMW,3-Series,2022,"$58,524 ",Black,XDrive Sedan (5R79),New,Sedan,All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
629,BMW,X1,2022,"$56,299 ",Black,XDrive28i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
630,BMW,X1,2022,"$53,104 ",White,XDrive28i,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,na,na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
