,brand,model,model_year,list_price,color,configuration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,dealer_address
145,Lexus,IS,2014,"$19,950 ",Grey,AWD,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"151,000",https://www.carproof.com/order?ref=kijiji&vin=JTHCF1D29E5004473,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
146,Toyota,FJ Cruiser,2008,"$15,950 ",Yellow,C Package,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,"389,000",https://www.carproof.com/order?ref=kijiji&vin=JTEBU11F98K037226,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
147,Infiniti,G37x,2009,"$9,950 ",Grey,G37x,Used,Sedan,Other,Automatic,Gasoline,"141,000",https://www.carproof.com/order?ref=kijiji&vin=JNKCV61F19M358524,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
148,Infiniti,EX35,2012,"$8,950 ",Other,EX,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"214,000",https://www.carproof.com/order?ref=kijiji&vin=JN1AJ0HR6CM452572,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
149,Toyota,Tacoma,2015,"$29,950 ",Black,TRD,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"171,000",https://www.carproof.com/order?ref=kijiji&vin=5TFMU4FN9FX032350,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
150,Dodge,Dakota,2008,"$8,950 ",Grey,SLT,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"253,000",https://www.carproof.com/order?ref=kijiji&vin=1D7HW38K08S624329,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
151,Mazda,B-Series Pickups,2008,"$10,999 ",Red,SE  /  4X4  /  EXTENDED CAB,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"208,000",https://www.carproof.com/order?ref=kijiji&vin=4f4zr47e98pm04981,"2 Castleton Avenue Unit 3, York, ON, M6N 3Z5"
152,Dodge,Dakota,2007,"$10,999 ",Silver,"QUAD CAB  /  4X4  /  ONLY 146,000 KMS",Used,Pickup Truck,4 x 4,Automatic,Gasoline,"146,000",https://www.carproof.com/order?ref=kijiji&vin=1d7hw28kx7s175511,"2 Castleton Avenue Unit 3, York, ON, M6N 3Z5"
153,Ford,Ranger,2008,"$10,999 ",Blue,SPORT  /  4X4  /  NO ACCIDENTS CARFAX INCLUDED,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"222,000",https://www.carproof.com/order?ref=kijiji&vin=1ftzr45e08pa85319,"2 Castleton Avenue Unit 3, York, ON, M6N 3Z5"
154,Toyota,RAV4,2018,"$28,900 ",Grey,LE,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"66,654",na,"7080 Dufferin Street, Vaughan, ON, L4K 0A1"
155,BMW,3-Series,2010,"$11,250 ",Black,328i XDRIVE PREMIUM SEDAN PWR HEAT LEATHER BLUETOOTH SUNROOF....MINT,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"161,000",https://www.carproof.com/order?ref=kijiji&vin=WBAPK7C54AA457976,"1830 Lawrence Avenue East, Toronto, ON, M1R 2Y2"
156,Acura,TLX,2019,"$31,950 ",Black,Tech A-Spec,Used,Sedan,Front-wheel drive (FWD),Automatic,Other,"72,824",na,"575 Kingston Road, Pickering, ON, L1V3N7"
157,Audi,A4,2013,"$6,900 ",na,na,Used,Sedan,na,Automatic,na,"137,049",na,"Toronto, ON M1P4M4"
158,Ford,F-150,2008,"$10,999 ",Beige,4X4  /  SUPER CREW /  1 OWNER  /  4.6L TRITON V8,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"235,000",https://www.carproof.com/order?ref=kijiji&vin=1FTRW14W38FC34264,"2 Castleton Avenue Unit 3, York, ON, M6N 3Z5"
159,na,na,na,na,na,na,na,na,na,na,na,na,na,na
160,na,na,na,na,na,na,na,na,na,na,na,na,na,na
161,na,na,na,na,na,na,na,na,na,na,na,na,na,na
162,na,na,na,na,na,na,na,na,na,na,na,na,na,na
163,na,na,na,na,na,na,na,na,na,na,na,na,na,na
164,na,na,na,na,na,na,na,na,na,na,na,na,na,na
165,na,na,na,na,na,na,na,na,na,na,na,na,na,na
166,na,na,na,na,na,na,na,na,na,na,na,na,na,na
167,na,na,na,na,na,na,na,na,na,na,na,na,na,na
168,na,na,na,na,na,na,na,na,na,na,na,na,na,na
169,na,na,na,na,na,na,na,na,na,na,na,na,na,na
170,na,na,na,na,na,na,na,na,na,na,na,na,na,na
171,na,na,na,na,na,na,na,na,na,na,na,na,na,na
172,na,na,na,na,na,na,na,na,na,na,na,na,na,na
173,na,na,na,na,na,na,na,na,na,na,na,na,na,na
174,na,na,na,na,na,na,na,na,na,na,na,na,na,na
175,na,na,na,na,na,na,na,na,na,na,na,na,na,na
176,na,na,na,na,na,na,na,na,na,na,na,na,na,na
177,na,na,na,na,na,na,na,na,na,na,na,na,na,na
178,na,na,na,na,na,na,na,na,na,na,na,na,na,na
179,na,na,na,na,na,na,na,na,na,na,na,na,na,na
180,na,na,na,na,na,na,na,na,na,na,na,na,na,na
181,na,na,na,na,na,na,na,na,na,na,na,na,na,na
182,na,na,na,na,na,na,na,na,na,na,na,na,na,na
183,na,na,na,na,na,na,na,na,na,na,na,na,na,na
184,na,na,na,na,na,na,na,na,na,na,na,na,na,na
185,BMW,M3,2016,"$69,800 ",Black,"425HP, PREMIUM, NAV, HEATED, HARMON KARDON",Used,Sedan,Rear-wheel drive (RWD),Automatic,Other,"18,145",https://www.carproof.com/order?ref=kijiji&vin=WBS8M9C50G5D31236,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
186,Infiniti,QX50,2020,"$42,658 ",Black,2.0T Essential AWD,Used,"SUV, Crossover",Other,Automatic,Other,"29,074",https://www.carproof.com/order?ref=kijiji&vin=3PCAJ5M39LF104592,"5585 Highway 7, Woodbridge, ON, L4L 1T5"
187,Cadillac,Escalade,2018,"$75,800 ",White,"Premium Luxury, 7PASS, 420HP, AWD, HEATED/COOLED",Used,"SUV, Crossover",4 x 4,Automatic,Other,"59,473",https://www.carproof.com/order?ref=kijiji&vin=1GYS4CKJ4JR197508,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
188,Chevrolet,Malibu,2017,"$12,800 ",Grey,"LT, AUTOMATIC, CAM, POWER SEAT, BLUETOOTH",Used,Sedan,Front-wheel drive (FWD),Automatic,Other,"171,337",https://www.carproof.com/order?ref=kijiji&vin=1G1ZE5STXHF105319,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
189,Toyota,C-HR,2019,"$25,990 ",Grey,"Base w/ CarPlay, Cam, Toyota Safety Sense",Used,Hatchback,Front-wheel drive (FWD),Automatic,Other,"32,980",na,"12 Goldthorne, Etobicoke, ON, M8Z5S8"
190,Audi,A4,2013,"$6,900 ",na,na,Used,Sedan,na,Automatic,na,"137,049",na,"Toronto, ON M1P4M4"
191,Ford,F-150,2008,"$10,999 ",Beige,4X4  /  SUPER CREW /  1 OWNER  /  4.6L TRITON V8,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"235,000",https://www.carproof.com/order?ref=kijiji&vin=1FTRW14W38FC34264,"2 Castleton Avenue Unit 3, York, ON, M6N 3Z5"
192,Land Rover,LR3,2006,"$6,300 ",Black,SE,Used,"Minivan, Van",4 x 4,Automatic,Gasoline,"192,942",na,"Scarborough, ON M1M"
193,Honda,Other,2010,"$8,495 ",Grey,LX,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"172,000",https://www.carproof.com/order?ref=kijiji&vin=1HGCP2F35AA806080,"917 Queen Street East, Toronto, ON, M4M 1J6"
194,Honda,Civic,2012,"$9,800 ",Black,Si,Used,Coupe (2 door),Front-wheel drive (FWD),Manual,na,260,na,"Markham, ON L3R"
195,Land Rover,Range Rover Evoque,2015,"$28,585 ",White,NAVI | PANO | REAR CAM | FINANCE,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,"99,892",https://www.carproof.com/order?ref=kijiji&vin=SALVP2BG7FH007909,"2430 Finch Ave West,, North York, ON, M9M 2E1"
196,Nissan,Pathfinder,2014,"$12,000 ",Grey,Sl,Used,"SUV, Crossover",na,Automatic,na,"350,000",na,"Toronto, ON M4B1A5"
197,Jeep,Patriot,2011,"$6,750 ",Grey,North Edition,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"202,000",https://www.carproof.com/order?ref=kijiji&vin=1J4NF2GBXBD202633,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
198,Infiniti,QX60,2017,"$25,950 ",Blue,QX 60,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"127,000",https://www.carproof.com/order?ref=kijiji&vin=5N1DL0MMXHC549233,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
199,Dodge,Avenger,2014,"$7,950 ",Black,SXT,Used,Sedan,Front-wheel drive (FWD),Automatic,Other,"170,000",https://www.carproof.com/order?ref=kijiji&vin=1C3CDZCB9EN162730,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
200,Mazda,Tribute,2010,"$3,950 ",Silver,LX,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,"245,000",https://www.carproof.com/order?ref=kijiji&vin=4F2CY0C71AKM08494,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
201,Mercedes-Benz,C-Class,2014,"$13,950 ",White,C 300,Used,Sedan,All-wheel drive (AWD),Automatic,Other,"149,000",https://www.carproof.com/order?ref=kijiji&vin=WDDGF8AB3EG244273,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
202,Volkswagen,Jetta,2009,"$4,950 ",Black,SE,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"233,000",https://www.carproof.com/order?ref=kijiji&vin=3VWHM71K29M090789,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
203,Nissan,Sentra,2010,"$2,950 ",Blue,SE,Used,Sedan,Front-wheel drive (FWD),Manual,Gasoline,"196,000",https://www.carproof.com/order?ref=kijiji&vin=3N1AB6AP3AL619437,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
204,Chevrolet,Silverado 1500,2010,"$13,950 ",Black,LT,Used,Pickup Truck,4 x 4,Automatic,Other,"285,000",https://www.carproof.com/order?ref=kijiji&vin=3GCRKSE30AG100676,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
205,Toyota,RAV4,2013,"$12,950 ",Grey,LE,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"202,000",https://www.carproof.com/order?ref=kijiji&vin=2T3BFREV7DW027892,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
206,Chevrolet,Malibu,2009,"$4,750 ",Grey,LTZ,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"294,000",https://www.carproof.com/order?ref=kijiji&vin=1G1ZK577594132770,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
207,Mazda,Mazda3 Sport,2015,"$9,950 ",Blue,GS,Used,Hatchback,Front-wheel drive (FWD),Automatic,Gasoline,"242,000",https://www.carproof.com/order?ref=kijiji&vin=3MZBM1L71FM233433,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
208,Hyundai,Elantra,2012,"$7,750 ",Purple,SE,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"178,000",https://www.carproof.com/order?ref=kijiji&vin=5NPDH4AE5CH146574,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
209,Lexus,IS,2014,"$19,950 ",Grey,AWD,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"151,000",https://www.carproof.com/order?ref=kijiji&vin=JTHCF1D29E5004473,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
210,Toyota,FJ Cruiser,2008,"$15,950 ",Yellow,C Package,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,"389,000",https://www.carproof.com/order?ref=kijiji&vin=JTEBU11F98K037226,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
211,Infiniti,G37x,2009,"$9,950 ",Grey,G37x,Used,Sedan,Other,Automatic,Gasoline,"141,000",https://www.carproof.com/order?ref=kijiji&vin=JNKCV61F19M358524,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
212,Infiniti,EX35,2012,"$8,950 ",Other,EX,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"214,000",https://www.carproof.com/order?ref=kijiji&vin=JN1AJ0HR6CM452572,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
213,Toyota,Tacoma,2015,"$29,950 ",Black,TRD,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"171,000",https://www.carproof.com/order?ref=kijiji&vin=5TFMU4FN9FX032350,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
214,Dodge,Dakota,2008,"$8,950 ",Grey,SLT,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"253,000",https://www.carproof.com/order?ref=kijiji&vin=1D7HW38K08S624329,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
215,Mazda,B-Series Pickups,2008,"$10,999 ",Red,SE  /  4X4  /  EXTENDED CAB,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"208,000",https://www.carproof.com/order?ref=kijiji&vin=4f4zr47e98pm04981,"2 Castleton Avenue Unit 3, York, ON, M6N 3Z5"
216,Dodge,Dakota,2007,"$10,999 ",Silver,"QUAD CAB  /  4X4  /  ONLY 146,000 KMS",Used,Pickup Truck,4 x 4,Automatic,Gasoline,"146,000",https://www.carproof.com/order?ref=kijiji&vin=1d7hw28kx7s175511,"2 Castleton Avenue Unit 3, York, ON, M6N 3Z5"
217,Ford,Ranger,2008,"$10,999 ",Blue,SPORT  /  4X4  /  NO ACCIDENTS CARFAX INCLUDED,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"222,000",https://www.carproof.com/order?ref=kijiji&vin=1ftzr45e08pa85319,"2 Castleton Avenue Unit 3, York, ON, M6N 3Z5"
218,Ford,E-Series Van,2014,"$17,488 ",White,E-350 - 1 Ton - 5.4L V8 Gas - Pwr Wind/Locks,Used,"Minivan, Van",Rear-wheel drive (RWD),Automatic,Gasoline,"257,000",https://www.carproof.com/order?ref=kijiji&vin=1FTSE3EL3EDA66086,"80 Toro Road, Toronto, ON, M3J 2A8"
219,Audi,Q3,2015,"$19,998 ",Other,2.0T Progressiv,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Other,"161,476",https://www.carproof.com/order?ref=kijiji&vin=WA1BFEFS2FR008340,"2333 Barton Street East, Hamilton, ON, L8E 2W8"
220,Mercedes-Benz,E-Class,2018,"$69,800 ",Grey,"E400 4MATIC CONVERTIBLE, AMG PKG, DISTRONIC PLUS",Used,Convertible,All-wheel drive (AWD),Automatic,Other,"34,992",https://www.carproof.com/order?ref=kijiji&vin=WDD1K6GB5JF022184,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
221,na,na,na,na,na,na,na,na,na,na,na,na,na,na
222,na,na,na,na,na,na,na,na,na,na,na,na,na,na
223,na,na,na,na,na,na,na,na,na,na,na,na,na,na
224,na,na,na,na,na,na,na,na,na,na,na,na,na,na
225,na,na,na,na,na,na,na,na,na,na,na,na,na,na
226,na,na,na,na,na,na,na,na,na,na,na,na,na,na
227,na,na,na,na,na,na,na,na,na,na,na,na,na,na
228,na,na,na,na,na,na,na,na,na,na,na,na,na,na
229,na,na,na,na,na,na,na,na,na,na,na,na,na,na
230,na,na,na,na,na,na,na,na,na,na,na,na,na,na
231,na,na,na,na,na,na,na,na,na,na,na,na,na,na
232,na,na,na,na,na,na,na,na,na,na,na,na,na,na
233,na,na,na,na,na,na,na,na,na,na,na,na,na,na
234,na,na,na,na,na,na,na,na,na,na,na,na,na,na
235,na,na,na,na,na,na,na,na,na,na,na,na,na,na
236,na,na,na,na,na,na,na,na,na,na,na,na,na,na
237,na,na,na,na,na,na,na,na,na,na,na,na,na,na
238,na,na,na,na,na,na,na,na,na,na,na,na,na,na
239,na,na,na,na,na,na,na,na,na,na,na,na,na,na
240,na,na,na,na,na,na,na,na,na,na,na,na,na,na
241,na,na,na,na,na,na,na,na,na,na,na,na,na,na
242,na,na,na,na,na,na,na,na,na,na,na,na,na,na
243,na,na,na,na,na,na,na,na,na,na,na,na,na,na
244,na,na,na,na,na,na,na,na,na,na,na,na,na,na
245,na,na,na,na,na,na,na,na,na,na,na,na,na,na
246,na,na,na,na,na,na,na,na,na,na,na,na,na,na
247,na,na,na,na,na,na,na,na,na,na,na,na,na,na
248,na,na,na,na,na,na,na,na,na,na,na,na,na,na
249,na,na,na,na,na,na,na,na,na,na,na,na,na,na
250,na,na,na,na,na,na,na,na,na,na,na,na,na,na
251,Audi,S5,2020,"$79,900 ",Black,Technik Cabriolet | 20\ Wheels | Magma Red Seats,Used,Convertible,All-wheel drive (AWD),Automatic,Other,"39,033",https://www.carproof.com/order?ref=kijiji&vin=WAUY4GF56LN000656,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
252,Honda,Civic,2016,"$21,990 ",White,EX,Used,Sedan,Front-wheel drive (FWD),Automatic,Other,"45,257",https://www.carproof.com/order?ref=kijiji&vin=2HGFC2F72GH030688,"55 Auction Ln, Brampton, ON, L6T 5V8"
253,Ram,1500,2020,"$73,995 ",White,Limited|V8|NAV|AIRSUSP|POWERSTEPS|360CAM|HKAUDIO|+,Used,Pickup Truck,4 x 4,Automatic,Other,"45,110",https://www.carproof.com/order?ref=kijiji&vin=1C6SRFHT3LN228556,"100 Toro Road, North York, ON, M3J 2A9"
254,Cadillac,CTS,2012,"$79,800 ",White,"V Coupe, RWD, SUPERCHARGED, 556HP, BREMBO BRAKES",Used,Coupe (2 door),Rear-wheel drive (RWD),Automatic,Other,"6,655",https://www.carproof.com/order?ref=kijiji&vin=1G6DV1EP4C0149467,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
255,BMW,M3,2016,"$69,800 ",Black,"425HP, PREMIUM, NAV, HEATED, HARMON KARDON",Used,Sedan,Rear-wheel drive (RWD),Automatic,Other,"18,145",https://www.carproof.com/order?ref=kijiji&vin=WBS8M9C50G5D31236,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
256,Honda,Civic,2018,"$24,490 ",Red,Sport,Used,Hatchback,Front-wheel drive (FWD),Manual,Other,"52,615",na,"12 Goldthorne, Etobicoke, ON, M8Z5S8"
257,BMW,X1,2017,"$12,700 ",White,xDrive28i,Salvage,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"60,322",https://www.carproof.com/order?ref=kijiji&vin=WBXHT3C38H5F75498,"11859 Hurontario Street, Brampton, ON"
258,Audi,A4,2013,"$6,900 ",na,na,Used,Sedan,na,Automatic,na,"137,049",na,"Toronto, ON M1P4M4"
259,Ford,F-150,2008,"$10,999 ",Beige,4X4  /  SUPER CREW /  1 OWNER  /  4.6L TRITON V8,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"235,000",https://www.carproof.com/order?ref=kijiji&vin=1FTRW14W38FC34264,"2 Castleton Avenue Unit 3, York, ON, M6N 3Z5"
260,Land Rover,LR3,2006,"$6,300 ",Black,SE,Used,"Minivan, Van",4 x 4,Automatic,Gasoline,"192,942",na,"Scarborough, ON M1M"
261,Honda,Other,2010,"$8,495 ",Grey,LX,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"172,000",https://www.carproof.com/order?ref=kijiji&vin=1HGCP2F35AA806080,"917 Queen Street East, Toronto, ON, M4M 1J6"
262,Honda,Civic,2012,"$9,800 ",Black,Si,Used,Coupe (2 door),Front-wheel drive (FWD),Manual,na,260,na,"Markham, ON L3R"
263,Land Rover,Range Rover Evoque,2015,"$28,585 ",White,NAVI | PANO | REAR CAM | FINANCE,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,"99,892",https://www.carproof.com/order?ref=kijiji&vin=SALVP2BG7FH007909,"2430 Finch Ave West,, North York, ON, M9M 2E1"
264,Nissan,Pathfinder,2014,"$12,000 ",Grey,Sl,Used,"SUV, Crossover",na,Automatic,na,"350,000",na,"Toronto, ON M4B1A5"
265,Dodge,Avenger,2014,"$7,950 ",Black,SXT,Used,Sedan,Front-wheel drive (FWD),Automatic,Other,"170,000",https://www.carproof.com/order?ref=kijiji&vin=1C3CDZCB9EN162730,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
266,Jeep,Patriot,2011,"$6,750 ",Grey,North Edition,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"202,000",https://www.carproof.com/order?ref=kijiji&vin=1J4NF2GBXBD202633,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
267,Infiniti,QX60,2017,"$25,950 ",Blue,QX 60,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"127,000",https://www.carproof.com/order?ref=kijiji&vin=5N1DL0MMXHC549233,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
268,Mazda,Tribute,2010,"$3,950 ",Silver,LX,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,"245,000",https://www.carproof.com/order?ref=kijiji&vin=4F2CY0C71AKM08494,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
269,Mercedes-Benz,C-Class,2014,"$13,950 ",White,C 300,Used,Sedan,All-wheel drive (AWD),Automatic,Other,"149,000",https://www.carproof.com/order?ref=kijiji&vin=WDDGF8AB3EG244273,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
270,Volkswagen,Jetta,2009,"$4,950 ",Black,SE,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"233,000",https://www.carproof.com/order?ref=kijiji&vin=3VWHM71K29M090789,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
271,Nissan,Sentra,2010,"$2,950 ",Blue,SE,Used,Sedan,Front-wheel drive (FWD),Manual,Gasoline,"196,000",https://www.carproof.com/order?ref=kijiji&vin=3N1AB6AP3AL619437,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
272,Chevrolet,Silverado 1500,2010,"$13,950 ",Black,LT,Used,Pickup Truck,4 x 4,Automatic,Other,"285,000",https://www.carproof.com/order?ref=kijiji&vin=3GCRKSE30AG100676,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
273,Toyota,RAV4,2013,"$12,950 ",Grey,LE,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"202,000",https://www.carproof.com/order?ref=kijiji&vin=2T3BFREV7DW027892,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
274,Chevrolet,Malibu,2009,"$4,750 ",Grey,LTZ,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"294,000",https://www.carproof.com/order?ref=kijiji&vin=1G1ZK577594132770,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
275,Mazda,Mazda3 Sport,2015,"$9,950 ",Blue,GS,Used,Hatchback,Front-wheel drive (FWD),Automatic,Gasoline,"242,000",https://www.carproof.com/order?ref=kijiji&vin=3MZBM1L71FM233433,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
276,Hyundai,Elantra,2012,"$7,750 ",Purple,SE,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"178,000",https://www.carproof.com/order?ref=kijiji&vin=5NPDH4AE5CH146574,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
277,Lexus,IS,2014,"$19,950 ",Grey,AWD,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"151,000",https://www.carproof.com/order?ref=kijiji&vin=JTHCF1D29E5004473,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
278,Toyota,FJ Cruiser,2008,"$15,950 ",Yellow,C Package,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,"389,000",https://www.carproof.com/order?ref=kijiji&vin=JTEBU11F98K037226,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
279,Infiniti,G37x,2009,"$9,950 ",Grey,G37x,Used,Sedan,Other,Automatic,Gasoline,"141,000",https://www.carproof.com/order?ref=kijiji&vin=JNKCV61F19M358524,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
280,Infiniti,EX35,2012,"$8,950 ",Other,EX,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"214,000",https://www.carproof.com/order?ref=kijiji&vin=JN1AJ0HR6CM452572,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
281,Toyota,Tacoma,2015,"$29,950 ",Black,TRD,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"171,000",https://www.carproof.com/order?ref=kijiji&vin=5TFMU4FN9FX032350,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
282,Dodge,Dakota,2008,"$8,950 ",Grey,SLT,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"253,000",https://www.carproof.com/order?ref=kijiji&vin=1D7HW38K08S624329,"6143 Kingston Road, Scarborough, ON, M1C 1K7"
283,Mazda,B-Series Pickups,2008,"$10,999 ",Red,SE  /  4X4  /  EXTENDED CAB,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"208,000",https://www.carproof.com/order?ref=kijiji&vin=4f4zr47e98pm04981,"2 Castleton Avenue Unit 3, York, ON, M6N 3Z5"
284,Dodge,Dakota,2007,"$10,999 ",Silver,"QUAD CAB  /  4X4  /  ONLY 146,000 KMS",Used,Pickup Truck,4 x 4,Automatic,Gasoline,"146,000",https://www.carproof.com/order?ref=kijiji&vin=1d7hw28kx7s175511,"2 Castleton Avenue Unit 3, York, ON, M6N 3Z5"
285,Ford,Ranger,2008,"$10,999 ",Blue,SPORT  /  4X4  /  NO ACCIDENTS CARFAX INCLUDED,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"222,000",https://www.carproof.com/order?ref=kijiji&vin=1ftzr45e08pa85319,"2 Castleton Avenue Unit 3, York, ON, M6N 3Z5"
286,Chevrolet,Camaro,2019,"$32,999 ",Red,LT,Used,Coupe (2 door),Rear-wheel drive (RWD),0,Gasoline,"32,991",https://www.carproof.com/order?ref=kijiji&vin=1G1FB1RX0K0118393,"715 Kingston Road, Pickering, ON, L1V 1A9"
287,na,na,na,na,na,na,na,na,na,na,na,na,na,na
288,na,na,na,na,na,na,na,na,na,na,na,na,na,na
289,na,na,na,na,na,na,na,na,na,na,na,na,na,na
290,na,na,na,na,na,na,na,na,na,na,na,na,na,na
291,na,na,na,na,na,na,na,na,na,na,na,na,na,na
292,na,na,na,na,na,na,na,na,na,na,na,na,na,na
293,na,na,na,na,na,na,na,na,na,na,na,na,na,na
294,na,na,na,na,na,na,na,na,na,na,na,na,na,na
295,na,na,na,na,na,na,na,na,na,na,na,na,na,na
296,na,na,na,na,na,na,na,na,na,na,na,na,na,na
297,na,na,na,na,na,na,na,na,na,na,na,na,na,na
298,na,na,na,na,na,na,na,na,na,na,na,na,na,na
299,na,na,na,na,na,na,na,na,na,na,na,na,na,na
300,na,na,na,na,na,na,na,na,na,na,na,na,na,na
301,na,na,na,na,na,na,na,na,na,na,na,na,na,na
302,na,na,na,na,na,na,na,na,na,na,na,na,na,na
303,na,na,na,na,na,na,na,na,na,na,na,na,na,na
304,na,na,na,na,na,na,na,na,na,na,na,na,na,na
305,na,na,na,na,na,na,na,na,na,na,na,na,na,na
306,na,na,na,na,na,na,na,na,na,na,na,na,na,na
307,na,na,na,na,na,na,na,na,na,na,na,na,na,na
308,na,na,na,na,na,na,na,na,na,na,na,na,na,na
309,na,na,na,na,na,na,na,na,na,na,na,na,na,na
310,na,na,na,na,na,na,na,na,na,na,na,na,na,na
311,na,na,na,na,na,na,na,na,na,na,na,na,na,na
312,na,na,na,na,na,na,na,na,na,na,na,na,na,na
313,na,na,na,na,na,na,na,na,na,na,na,na,na,na
314,na,na,na,na,na,na,na,na,na,na,na,na,na,na
315,na,na,na,na,na,na,na,na,na,na,na,na,na,na
